Namespace(alpha=0.2, batch_size=2048, beta=0.3, dataset='AMusic', decay=0.0001, early_stop=50, emb_size=64, epochs=1000, gpu_id=1, initilizer='normal', layer=4, lr=0.001, seed=2022, self_loop=0, task='train', top_H=4, topks='[10, 20]')
EPOCH 322/1000 [0.26s], loss: 0.01912
EPOCH 323/1000 [0.26s], loss: 0.01786
EPOCH 324/1000 [0.26s], loss: 0.01768
EPOCH 325/1000 [0.26s], loss: 0.01792
EPOCH 326/1000 [0.25s], loss: 0.01855
EPOCH 327/1000 [0.26s], loss: 0.01758
EPOCH 328/1000 [0.25s], loss: 0.01739
EPOCH 329/1000 [0.26s], loss: 0.01778
EPOCH 330/1000 [0.25s], loss: 0.01810
[TEST 0.34s], {'precision': [0.05341996, 0.03840462], 'recall': [0.22693179, 0.31439214], 'ndcg': [0.15912619, 0.18662208]}
EPOCH 331/1000 [0.31s], loss: 0.01704
EPOCH 332/1000 [0.25s], loss: 0.01844
EPOCH 333/1000 [0.26s], loss: 0.01722
EPOCH 334/1000 [0.25s], loss: 0.01809
EPOCH 335/1000 [0.26s], loss: 0.01846
EPOCH 336/1000 [0.26s], loss: 0.01740
EPOCH 337/1000 [0.26s], loss: 0.01811
EPOCH 338/1000 [0.25s], loss: 0.01885
EPOCH 339/1000 [0.26s], loss: 0.01704
EPOCH 340/1000 [0.26s], loss: 0.01834
[TEST 0.34s], {'precision': [0.05370872, 0.03844974], 'recall': [0.22846382, 0.31388375], 'ndcg': [0.15978109, 0.18676669]}
EPOCH 341/1000 [0.32s], loss: 0.01792
EPOCH 342/1000 [0.24s], loss: 0.01688
EPOCH 343/1000 [0.27s], loss: 0.01671
EPOCH 344/1000 [0.25s], loss: 0.01782
EPOCH 345/1000 [0.26s], loss: 0.01657
EPOCH 346/1000 [0.26s], loss: 0.01755
EPOCH 347/1000 [0.27s], loss: 0.01659
EPOCH 348/1000 [0.26s], loss: 0.01759
EPOCH 349/1000 [0.26s], loss: 0.01693
EPOCH 350/1000 [0.25s], loss: 0.01738
[TEST 0.63s], {'precision': [0.05401552, 0.038549  ], 'recall': [0.22968366, 0.31433127], 'ndcg': [0.16072145, 0.1874355 ]}
EPOCH 351/1000 [0.32s], loss: 0.01590
EPOCH 352/1000 [0.24s], loss: 0.01813
EPOCH 353/1000 [0.25s], loss: 0.01671
EPOCH 354/1000 [0.25s], loss: 0.01688
EPOCH 355/1000 [0.24s], loss: 0.01590
EPOCH 356/1000 [0.25s], loss: 0.01780
EPOCH 357/1000 [0.26s], loss: 0.01777
EPOCH 358/1000 [0.26s], loss: 0.01602
EPOCH 359/1000 [0.26s], loss: 0.01647
EPOCH 360/1000 [0.26s], loss: 0.01689
[TEST 0.1s], {'precision': [0.05379895, 0.03856705], 'recall': [0.22835914, 0.31464249], 'ndcg': [0.16040103, 0.18759459]}
EPOCH 361/1000 [0.32s], loss: 0.01644
EPOCH 362/1000 [0.26s], loss: 0.01620
EPOCH 363/1000 [0.25s], loss: 0.01633
EPOCH 364/1000 [0.26s], loss: 0.01648
EPOCH 365/1000 [0.26s], loss: 0.01689
EPOCH 366/1000 [0.26s], loss: 0.01574
EPOCH 367/1000 [0.25s], loss: 0.01727
EPOCH 368/1000 [0.25s], loss: 0.01629
EPOCH 369/1000 [0.26s], loss: 0.01655
EPOCH 370/1000 [0.25s], loss: 0.01624
[TEST 0.34s], {'precision': [0.0541238 , 0.03861216], 'recall': [0.22973107, 0.31537638], 'ndcg': [0.16120427, 0.18811239]}
EPOCH 371/1000 [0.35s], loss: 0.01577
EPOCH 372/1000 [0.25s], loss: 0.01631
EPOCH 373/1000 [0.26s], loss: 0.01659
EPOCH 374/1000 [0.25s], loss: 0.01540
EPOCH 375/1000 [0.26s], loss: 0.01527
EPOCH 376/1000 [0.26s], loss: 0.01664
EPOCH 377/1000 [0.25s], loss: 0.01579
EPOCH 378/1000 [0.25s], loss: 0.01581
EPOCH 379/1000 [0.25s], loss: 0.01510
EPOCH 380/1000 [0.26s], loss: 0.01594
[TEST 0.1s], {'precision': [0.05387114, 0.03858509], 'recall': [0.22811926, 0.31518676], 'ndcg': [0.16106726, 0.18848107]}
EPOCH 381/1000 [0.34s], loss: 0.01627
EPOCH 382/1000 [0.24s], loss: 0.01517
EPOCH 383/1000 [0.26s], loss: 0.01636
EPOCH 384/1000 [0.25s], loss: 0.01574
EPOCH 385/1000 [0.25s], loss: 0.01652
EPOCH 386/1000 [0.25s], loss: 0.01670
EPOCH 387/1000 [0.26s], loss: 0.01515
EPOCH 388/1000 [0.26s], loss: 0.01560
EPOCH 389/1000 [0.25s], loss: 0.01622
EPOCH 390/1000 [0.25s], loss: 0.01588
[TEST 0.4s], {'precision': [0.05434037, 0.03876557], 'recall': [0.23042915, 0.31634695], 'ndcg': [0.16240055, 0.18938721]}
EPOCH 391/1000 [0.34s], loss: 0.01600
EPOCH 392/1000 [0.25s], loss: 0.01561
EPOCH 393/1000 [0.26s], loss: 0.01491
